Country,1990,1995,2000,2005,2010,2015,2019,Pop1990,Pop1995,Pop2000,Pop2005,Pop2010,Pop2015,Pop2019,PopCountry
Australia,3955213,4153330,4386250,4878030,5882980,6729730,7549270,16961,17993,18991,20179,22155,23932,25203,Australia
New Zealand,518047,588617,678813,839952,947443,1039736,1068739,3398,3675,3859,4135,4370,4615,4783,New Zealand
Fiji,13283,13001,12719,12435,13351,13751,14038,729,775,811,822,860,869,890,Fiji
New Caledonia,37673,43662,49651,55405,61158,68881,72537,170,193,217,236,254,271,283,New Caledonia
Papua New Guinea,33710,33526,26304,30106,30425,30940,31212,4616,5187,5848,6495,7311,8108,8776,Papua New Guinea
Solomon Islands,4226,4178,3981,3271,2760,2585,2532,312,359,413,470,528,603,670,Solomon Islands
Vanuatu,2308,2461,2626,2800,2991,3187,3245,147,168,185,209,236,271,300,Vanuatu
Guam,69755,71912,74070,74743,75416,76089,79846,130,146,155,158,159,162,167,Guam
Kiribati,2162,2223,2283,2487,2868,2919,3022,72,78,84,92,103,111,118,Kiribati
Marshall Islands,1158,1480,1891,2417,3089,3284,3296,47,50,51,55,56,57,59,Marshall Islands
Micronesia (Fed. States of),3685,3342,3116,2905,2806,2756,2819,96,108,107,106,103,109,114,Micronesia (Fed. States of)
Nauru,2815,2605,2394,2253,1183,1890,2114,10,11,10,10,10,10,11,Nauru
Northern Mariana Islands,26593,32376,40122,37542,24168,21648,21815,46,46,57,57,54,56,57,Northern Mariana Islands
Palau,2801,4749,6310,6043,5490,4937,5066,15,17,19,20,18,18,18,Palau
American Samoa,21283,23098,24912,24233,23555,23513,23539,47,53,58,60,56,56,55,American Samoa
Cook Islands,2587,2686,2785,3277,3769,3477,3491,18,19,18,19,18,18,18,Cook Islands
French Polynesia,25830,28360,30329,32286,31640,30058,31205,200,218,241,259,266,273,279,French Polynesia
Niue,461,480,498,522,589,588,588,2,2,2,2,2,2,2,Niue
Samoa,3357,4694,5998,5746,5122,4252,4035,163,170,174,180,186,194,197,Samoa
Tokelau,270,266,262,258,429,487,504,2,2,2,1,1,1,1,Tokelau
Tonga,2911,3274,3684,4301,4604,3954,3752,95,96,98,101,104,101,104,Tonga
Tuvalu,318,263,218,209,220,230,238,9,9,9,10,11,11,12,Tuvalu
Wallis and Futuna Islands,1402,1704,2015,2191,1624,1052,1022,14,14,15,15,13,12,11,Wallis and Futuna Islands
Belarus,1248977,1186282,1123586,1106982,1090378,1082905,1069395,10151,10078,9872,9562,9421,9439,9452,Belarus
Bulgaria,21510,32435,43360,61074,76287,123803,168516,8841,8379,7998,7687,7425,7200,7000,Bulgaria
Czechia,110394,165592,220789,322540,398493,416454,512705,10341,10358,10289,10258,10537,10601,10689,Czechia
Hungary,347510,322234,296957,366787,436616,475508,512043,10377,10349,10221,10086,9927,9778,9685,Hungary
Poland,1127771,964725,825251,722509,642417,619403,655985,37960,38459,38557,38369,38330,38034,37888,Poland
Moldova,544162,367231,247828,171122,129488,106374,104713,4366,4341,4203,4159,4086,4071,4043,Republic of Moldova
Romania,135825,135037,134254,145162,177211,281048,462552,23489,22965,22137,21417,20472,19925,19365,Romania
Russian Federation,11524948,11928927,11900297,11667588,11194710,11643276,11640559,147532,148227,146405,143672,143479,144985,145872,Russian Federation
Slovak Republic,41295,69323,116376,130491,146319,177624,187984,5288,5375,5399,5399,5404,5436,5457,Slovakia
Ukraine,6892920,6172338,5527087,5050302,4818767,4915142,4964293,51463,50904,48838,46891,45792,44922,43994,Ukraine
