Year,Country,1990M,1990F,1995M,1995F,2000M,2000F,2005M,2005F,2010M,2010F,2015M,2015F,2019M,2019F
1990,Kazakhstan,1666164,1953036,1497455,1754513,1323580,1550614,1472820,1630207,1625155,1709782,1757828,1788232,1836893,1868663
1990,Kyrgyzstan,260416,362667,216638,301700,162927,226897,128064,181335,94596,137469,82616,121766,80945,119315
1990,Tajikistan,187972,240928,151894,196453,131653,167846,121403,159063,121780,158028,118639,156462,118207,155864
1990,Turkmenistan,134174,172326,132122,141443,102810,116257,101214,111839,90634,107345,91531,104845,92240,102887
1990,Uzbekistan,723618,929382,657490,855087,606163,800335,589690,740242,558379,661770,545721,625152,545048,623336
1990,Afghanistan,32558,25128,39105,32417,42848,33069,49274,38026,57709,44537,248212,241537,74974,74788
1990,Bangladesh,476097,405520,503989,430746,531907,455946,621228,545472,710548,634998,752035,670770,1124293,1061320
1990,Bhutan,19409,4398,22804,5168,26200,5937,32742,7537,39283,9137,43396,7710,45220,8034
1990,India,3967470,3627331,3608978,3343260,3303591,3107740,3045849,2878096,2789748,2650010,2684680,2556280,2640513,2514224
1990,Iran (Islamic Republic of),2456700,1834901,1705972,1231696,1662264,1141541,1410319,1158611,1571723,1189838,1445236,1281184,1421804,1260410
1990,Maldives,4777,3912,9243,9267,14907,12185,27079,17966,41712,12947,56345,7928,60709,8540
1990,Nepal,125966,304008,217088,473137,241959,475941,235203,444254,189518,389139,156361,353110,148487,342315
1990,Pakistan,3264380,2943824,1951223,1718085,2249960,1931952,1708514,1462618,2074443,1867143,1845470,1661050,1714663,1543315
1990,Sri Lanka,23423,18138,22689,18152,21971,18161,21318,18208,20694,18265,20745,18961,20909,19109
1990,China,191954,184407,223018,219180,254082,253952,379920,299027,505758,344103,600136,377910,632550,398321
1990,"China, Hong Kong SAR",1124544,1093929,1175087,1268711,1225629,1443493,1185121,1536114,1147539,1632411,1119957,1718708,1143329,1798925
1990,"China, Macao SAR",96379,108668,103660,121269,109391,131400,130387,148921,146407,172099,174589,201477,185502,214070
1990,Dem. People's Republic of Korea,17393,16710,17562,17581,17731,18452,19749,20348,21766,22244,24110,24348,24576,24817
1990,Japan,538765,536552,680212,682159,796928,889516,931198,1080357,972481,1161670,1050070,1182119,1208168,1290723
1990,Mongolia,3419,3299,3959,3465,4564,3642,7577,3900,11880,4182,13284,6602,14114,7014
1990,Republic of Korea,24349,18898,70758,53128,143212,101012,284305,201760,525395,394592,641400,501687,652746,510909
1990,Brunei Darussalam,41856,31344,47832,36916,53807,42489,55265,43176,56723,43864,58181,44552,62660,47981
1990,Cambodia,19084,19291,45361,46869,71638,74447,57511,56520,43385,38592,39854,34109,42379,36270
1990,Indonesia,229885,235727,191600,187360,153315,138992,165493,124075,174864,130552,196717,141407,205451,147684
1990,Lao People's Democratic Republic,11806,11060,12199,11327,11564,10384,10930,9441,20133,12822,29335,16203,31099,17176
1990,Malaysia,405808,290112,534964,402404,822679,640919,1133541,784963,1469977,947418,1996220,1284461,2097159,1333221
1990,Myanmar,72310,61235,61489,52174,52150,45861,44506,38519,41574,34840,40178,33131,41652,34346
1990,Philippines,81347,72724,107524,99821,161904,156191,133023,124445,107933,100666,109783,102079,113239,105291
1990,Singapore,345842,381420,456411,535081,601671,750020,758762,951832,956856,1207938,1122986,1420652,950192,1205461
1990,Thailand,283486,245207,426290,383430,647728,610093,1086166,1077281,1624755,1599376,1751187,1735339,1825505,1809580
